Station,Location,Gas,Concentration,Frequency,Day Of Week,Calibration Time,Zero Time,Start Date,End Date
NA002,04,CO2,400,W,Sunday,02:10:00,01:40:00,2024-03-21T02:10:00Z,9999-01-01T00:00:00Z
NA002,05,SO2,10,W,Sunday,02:50:00,02:10:00,2024-03-21T02:10:00Z,9999-01-01T00:00:00Z
NA002,06,H2S,25,W,Sunday,02:30:00,02:10:00,2024-03-21T02:10:00Z,9999-01-01T00:00:00Z
RU001,09,CO2,400,W,Monday,01:40:00,01:10:00,2025-05-13T22:20:00Z,9999-01-01T00:00:00Z
RU001,10,SO2,10,W,Monday,02:40:00,01:10:00,2025-05-13T22:20:00Z,9999-01-01T00:00:00Z
RU001,11,H2S,25,W,Monday,02:10:00,01:10:00,2025-05-13T22:20:00Z,9999-01-01T00:00:00Z
TO003,12,CO2,400,W,Sunday,02:10:00,01:40:00,2024-03-01T00:20:00Z,9999-01-01T00:00:00Z
TO003,13,SO2,10,W,Sunday,02:50:00,02:10:00,2024-03-01T00:20:00Z,9999-01-01T00:00:00Z
TO003,14,H2S,25,W,Sunday,02:30:00,02:10:00,2024-03-01T00:20:00Z,9999-01-01T00:00:00Z
TO006,05,CO2,400,W,Sunday,02:10:00,01:40:00,2024-06-04T03:59:59Z,9999-01-01T00:00:00Z
TO006,06,SO2,10,W,Sunday,02:50:00,02:10:00,2024-06-04T03:59:59Z,9999-01-01T00:00:00Z
TO006,07,H2S,25,W,Sunday,02:30:00,02:10:00,2024-06-04T03:59:59Z,9999-01-01T00:00:00Z
